k;j3;j4;p2;p3;p4;s3;t2;t3;t4;ti2;ti3
1;4.97008;1.00169;0.233477;0.480814;14.8978;0.016805;0.0727788;7.41267;22.1237;0.62496;198.425
10;5.12432;1.02078;0.244026;0.490157;47.7166;0.016609;0.77039;210.281;139.851;15.9012;39.7048
100;5.20606;1.12502;0.234288;0.513043;28.8907;0.018146;0.085975;9.79466;22.5144;0.7228;64.6631
1000;6.2892;1.55811;0.25726;0.632604;28.6567;0.019701;0.107231;27.8452;23.4695;0.892554;123.036
