k;j3;j4;p2;p3;p4;s1;s2;s3;s4;t2;t3;t4;ti2;ti3;ti4;tr1;tr2
1;
10;
100;
1000;
k;j3;j4;p2;p3;p4;s1;s2;s3;s4;t2;t3;t4;ti2;ti3;ti4;tr1;tr2
1;17.9123;16.0028;1.2291;4.67334;153.481;0.161745;0.669541;139.062;585.947;3.80078;363.476;
10;17.9453;15.903;1.22883;4.65665;153.746;0.16182;0.669194;138.405;584.645;3.78165;363.017;
100;18.1688;15.909;1.23061;4.66397;153.731;0.161532;0.670985;138.62;585.218;3.80743;363.567;
