k;j3;j4;p2;p3;p4;s1;s2;s3;s4;t2;t3;t4;ti2;ti3;ti4;tr1;tr2
1;1842992;1562661;22165;214690;18698588;0;0;2289;0;5606;245671;6293554;32414;20962478;0;0;0
10;2656698;1578667;37690;267191;22126296;0;0;3740;0;19475;2282486;20114981;60946;22722171;0;0;0
100;4925264;1676800;90977;370831;22126483;0;0;10139;0;54717;9979998;36114059;221184;43927629;0;0;0
1000;8372714;1962842;235859;660781;22126483;0;0;29950;0;132745;22231286;42935011;714536;60497089;0;0;0
