k;j3;j4;p2;p3;p4;s1;s2;s3;s4;t2;t3;t4;ti2;ti3;ti4;tr1;tr2
1;1.323755;1.941843;25.250000;0.289473;33.637593;0;0;0.009383;0;0.005241;0.462519;7.675140;0.018997;19.418699;0;0;0;
10;1.812614;1.941093;1619.625000;0.344394;38.925153;0;0;0.012331;0;0.014680;3.404300;12.133440;0.034550;21.062648;0;0;0;
100;3.176726;1.968559;2718.750000;0.444240;38.770213;0;0;0.019702;0;0.038775;14.720300;24.429440;0.124096;44.275125;0;0;0;
1000;7.473996;2.198802;4999999999999999791559868416.000000;0.754194;39.472377;0;0;0.035388;0;0.108193;32.615300;52.601285;0.458802;68.318791;0;0;0;
