k;j3;j4;p2;p3;p4;s1;s2;s3;s4;t2;t3;t4;ti2;ti3;ti4;tr1;tr2
1;688622;1481429;15169;202402;17656734;0;0;1787;0;1352;128181;1919562;6750;8001106;0;0;0
10;923970;1491305;25745;240168;22119759;0;0;2813;0;6447;1415538;3304831;15058;8883321;0;0;0
100;1719135;1530011;52197;315654;22126490;0;0;6336;0;26269;7977671;7547272;74829;21944820;0;0;0
1000;4579030;1753886;184600;593802;22126490;0;0;19100;0;110518;22232092;18439574;404216;37372434;0;0;0
