k;j3;j4;p2;p3;p4;s1;s2;s3;s4;t2;t3;t4;ti2;ti3;ti4;tr1;tr2
1;0.422445;2.145053;0.002475;0.030672;0.655248;0.005212;0.248101;0.292744;0.050123;0.001471;0.013336;5.352584;0.002669;0.359041;8.312115;0.002361;0.005806;
10;0.703987;3.746768;0.017009;0.082305;1.449797;0.014259;0.657409;0.475821;0.180891;0.004064;0.054864;7.356494;0.007373;0.608780;27.527091;0.007789;0.018976;
100;0.823470;4.647589;0.023737;0.097595;2.626962;0.019093;0.685679;0.479973;0.186070;0.012704;0.081306;10.083974;0.017826;1.194732;31.910338;0.008569;0.021767;
1000;0.897893;5.924565;0.030513;0.107065;2.804471;0.018888;0.704119;0.506972;0.192454;0.015519;0.171880;10.631774;0.038396;3.004144;34.714545;0.008611;0.021240;
