k;j3;j4;p2;p3;p4;s1;s2;s3;s4;t2;t3;t4;ti2;ti3;ti4;tr1;tr2
1;8.98426;69.5617;0.0247692;0.607562;18.437;17.0869;5.98716;7.829;1.21363;0.0108771;0.257754;543.009;0.0221134;7.76556;549.67;0.0111291;0.0517251;
10;15.1263;113.719;0.170164;1.66697;40.7442;17.0869;16.4662;10.889;4.54822;0.0377811;1.13229;227.425;0.0838005;13.9677;1022.35;0.0382975;0.16721;
100;19.7837;145.412;0.252208;1.99975;74.3988;17.0869;16.8253;11.139;4.55719;0.141049;1.68598;313.671;0.215863;27.1057;1297.27;0.0433115;0.172097;
1000;21.0307;177.824;0.316818;2.13558;75.9776;17.0869;16.8816;11.1731;4.55073;0.162826;3.91946;329.967;0.532557;72.6831;1168.09;0.0448751;0.194151;
