k;j3;j4;p2;p3;p4;s1;s2;s3;s4;t2;t3;t4;ti2;ti3;ti4;tr1;tr2
1;2434975;12455753;7713;135082;3300756;12460;1050052;1283685;195104;3217;57232;214654095;6488;1943813;159948505;2889;11170
10;3840170;21591359;59014;374719;7246198;36035;2806784;1920277;726067;11392;241108;442074129;23669;3187030;459961089;10171;35522
100;4949853;27291197;85771;451256;13593426;48245;2864794;1970464;730345;43301;363119;455722269;61104;6286445;516980275;11520;36755
1000;5253581;34652877;106796;480640;13873801;49320;2872555;1976265;730345;51776;821908;458329711;158510;16277878;631168998;11876;41673


