k;j3;j4;p2;p3;p4;s1;s2;s3;s4;t2;t3;t4;ti2;ti3;ti4;tr1;tr2
1;2.338510;14.676767;0.006512;0.102795;2.693385;0.018842;1.173918;1.712008;0.316301;0.001849;0.085053;8.921631;0.006482;2.146769;96.616648;0.002994;0.010297
10;3.626367;26.702815;0.043705;0.401303;8.004880;0.053923;4.049025;2.765544;1.123046;0.006368;0.259082;18.628047;0.021742;3.007896;198.637811;0.010156;0.040665
100;4.699790;32.548348;0.057280;0.483498;17.545316;0.074044;4.195037;2.826579;1.131247;0.034961;0.389577;62.857222;0.053110;6.554107;218.841281;0.011340;0.041335
1000;5.033125;41.344765;0.072847;0.508887;18.198918;0.074097;4.206946;2.700411;1.125899;0.046591;0.911841;73.583379;0.123077;16.122900;239.145714;0.011681;0.046847
