k;j3;j4;p2;p3;p4;s1;s2;s3;s4;t2;t3;t4;ti2;ti3;ti4;tr1;tr2
1;2629122;11601886;8786;96716;1912696;12315;802723;1247911;207724;2007;77053;6393547;8120;2008702;67708644;2501;8864
10;3854644;21646703;66270;376841;5755371;35409;2808310;1920721;727091;8321;235370;13064521;28631;2871494;143786253;10260;35635
100;4944444;27210749;86085;457137;13683002;49266;2864763;1969827;730345;47585;356171;46892675;71158;6293299;157947622;11524;36458
1000;5263174;34692006;108967;481656;13943796;49320;2872555;1976315;730345;64331;821908;54359959;168174;15899526;173522887;11876;41673
