k;j3;j4;p2;p3;p4;s1;s2;s3;s4;t2;t3;t4;ti2;ti3;ti4;tr1;tr2
1;4129634;22701020;50561;335706;7566625;39517;2416111;1798735;689984;13636;151926;28998281;23105;3824519;115041774;8130;31592;
10;4790637;26041520;90299;451995;10183413;48234;2863501;1949536;729159;32915;373495;49306452;53117;6290149;175371635;11359;38047;
100;5331490;31380010;112161;490009;13958038;49320;2872224;1975390;730349;51210;574533;55596999;120687;12974106;186185892;11850;40681;
1000;5736954;34745191;159949;519214;14034648;49330;2872564;1976788;730349;61488;821938;56159897;213677;18041448;188584698;11887;41688;
