k;j3;j4;p2;p3;p4;s1;s2;s3;s4;t2;t3;t4;ti2;ti3;ti4;tr1;tr2
1;6.68513;50.274;0.077954;0.671946;17.2621;0.113761;6.08841;3.46924;1.8173;0.0210977;0.443967;685.568;0.033565;7.64225;682.054;0.0205187;0.0857647;
10;7.05885;57.1556;0.102914;0.774179;19.8181;0.142526;7.32337;4.88386;1.81094;0.0377594;0.715527;731.143;0.0681937;11.1598;771.39;0.0240064;0.0881014;
100;7.49357;60.639;0.129907;0.836863;26.4092;0.144371;7.37307;4.91171;1.81299;0.0549264;0.888024;751.737;0.127094;16.9975;907.76;0.024956;0.093845;
1000;7.55293;64.9262;0.168322;0.846444;26.6488;0.144793;7.34153;4.92703;1.82465;0.0655463;1.159;759.787;0.191314;20.335;1065.8;0.0248104;0.095327;
