k;j3;j4;p2;p3;p4;s1;s2;s3;s4;t2;t3;t4;ti2;ti3;ti4;tr1;tr2
1;4483570;25318577;37825;354081;9224766;40157;2423971;1656239;673187;15948;319911;122942045;52494;7441991
10;5045660;28013914;37825;449223;11276225;47740;2863569;1955362;729262;30578;496839;171376687;77728;9213000
100;5648073;31792677;37825;490591;13953246;49281;2871878;1973978;730349;51262;630093;163787649;125070;12132972
1000;5874511;34739645;37825;518701;14032833;49330;2872564;1976589;730349;62074;821938;179589411;212257;17120038k;j3;j4;p2;p3;p4;s1;s2;s3;s4;t2;t3;t4;ti2;ti3;ti4;tr1;tr2
1;4483566;25318465;37610;354080;9224755;40157;2423965;1656240;673187;15948;319910;35917137;52494;7441910;143946046;6841;31849;
10;5045649;28014062;37610;449223;11276279;47740;2863569;1955362;729262;30578;496841;48249491;77727;9212950;186543497;11219;38465;
100;5648082;31792610;37610;490591;13953247;49281;2871878;1973978;730349;51262;630097;54609131;125066;12132995;194312623;11840;40477;
1000;5874513;34739645;37610;518701;14032833;49330;2872564;1976589;730349;62074;821938;55505509;212257;17120188;198223988;11887;41688;
