k;j3;j4;p2;p3;p4;s1;s2;s3;s4;t2;t3;t4;ti2;ti3;ti4;tr1;tr2
1;4599871;15827204;19859;261722;4907661;22255;1623025;192924;625496;6124;143889;14525101;10460;1860579;88157609;4524;24792;
10;5430332;24676038;34408;428448;7801200;44591;2846923;1932028;728773;19905;319862;40578040;29187;3506548;166842546;10845;36449;
100;5765537;25643273;42767;491509;13830701;49273;2870827;1967871;730349;45638;456916;50416193;75791;7736688;181057119;11831;39491;
1000;5912805;34707086;87412;510368;14020881;49330;2872564;1976448;730349;58007;821938;54479035;168364;15970904;191463019;11887;41688;
