k;j3;j4;p2;p3;p4;s1;s2;s3;s4;t2;t3;t4;ti2;ti3;ti4;tr1;tr2
1;8.59;81.0869;0.117002;0.935407;31.6739;0.173367;9.7187;6.1343;2.36275;0.0300617;1.02309;109.423;0.110655;15.9039;405.345;0.0270541;0.114268;
10;10.7595;90.262;0.117652;1.09926;34.7158;0.18046;10.1495;7.13819;2.47924;0.055322;1.24757;148.598;0.151324;20.6579;505.911;0.0318291;0.122303;
100;11.5004;94.9683;0.117284;1.15696;40.7826;0.182568;10.2222;7.15017;2.49533;0.0774349;1.49882;k;j3;j4;p2;p3;p4;s1;s2;s3;s4;t2;t3;t4;ti2;ti3;ti4;tr1;tr2
1000;11.9998;95.9457;0.11773;1.18692;40.8286;0.182881;10.1739;7.14917;2.48245;0.0928575;1.73487;165.336;0.308962;36.2568;528.11;0.0324153;0.12613;
k;j3;j4;p2;p3;p4;s1;s2;s3;s4;t2;t3;t4;ti2;ti3;ti4;tr1;tr2
100;163.35;0.216962;26.4451;k;j3;j4;p2;p3;p4;s1;s2;s3;s4;t2;t3;t4;ti2;ti3;ti4;tr1;tr2
100;k;j3;j4;p2;p3;p4;s1;s2;s3;s4;t2;t3;t4;ti2;ti3;ti4;tr1;tr2
100;k;j3;j4;p2;p3;p4;s1;s2;s3;s4;t2;t3;t4;ti2;ti3;ti4;tr1;tr2
100;462.14;0.032512;0.125575;
