k;j3;j4;p2;p3;p4;s1;s2;s3;s4;t2;t3;t4;ti2;ti3;ti4;tr1;tr2
1;10.0733;73.6744;0.0824405;0.968346;32.837;0.151749;9.40276;6.95783;2.48271;0.0360861;0.99858;304.086;0.123578;20.91;465.428;0.0211053;0.101131
10;11.0078;79.1259;0.138324;1.08037;37.6775;0.16114;10.1146;7.3536;2.55598;0.055218;1.33657;577.319;0.163388;24.9896;572.21;0.0286027;0.114842
100;12.352;89.6093;0.185111;1.16852;44.1372;0.163916;10.4416;7.59399;2.64026;0.0795619;1.62873;177.023;0.23613;31.2786;565.022;0.029739;0.117041
1000;12.6874;97.2321;0.280658;1.21904;43.8942;0.165946;10.9607;7.55095;2.73112;0.0945104;2.04792;378.909;0.355853;40.5904;592.288;0.0301798;0.127853
