k;j3;j4;p2;p3;p4;s1;s2;s3;s4;t2;t3;t4;ti2;ti3;ti4;tr1;tr2
1;2308633;12216546;12993;116297;5652384;13050;1106715;1156245;168394;2459;68517;22510474;8124;1191334;28326810;2975;8454
10;3893245;21423412;55399;367636;9294843;35097;2804129;1919203;725746;10454;233380;30796671;21571;2550559;138269623;10011;35757
100;4686422;25980657;86459;449564;13595124;49118;2864134;1964536;730345;39906;348959;52261800;55065;4664091;156990859;11512;37263
1000;5013380;34654759;102867;485373;13873387;49320;2872555;1976264;730345;47943;821908;54354381;164826;16196150;173670106;11876;41673
