k;j3;j4;p2;p3;p4;s1;s2;s3;s4;t2;t3;t4;ti2;ti3;ti4;tr1;tr2
1;2683548;12149629;8786;96716;3753282;12315;802723;1247911;207724;2007;77053;5951938;8120;2008702;69104217;2501;8864
10;3978365;22422729;66270;376841;7522183;35409;2808310;1920721;727091;8321;235370;10910332;28631;2871494;143538938;10260;35635
100;4590694;28304844;86085;457137;13683208;49266;2864763;1969827;730345;47585;356171;46420010;71158;6293299;159362558;11524;36458
1000;4929768;35996091;108967;481656;13964967;49320;2872555;1976315;730345;64331;821908;54342507;168174;15899526;179163127;11876;41673
