k;j3;j4;p2;p3;p4;s1;s2;s3;s4;t2;t3;t4;ti2;ti3;ti4;tr1;tr2
1;0.540705;2.80928;0.0360554;0.0515371;1.34494;0.00605898;0.320626;0.220913;0.0816925;0.00740242;0.0733585;41.806;0.0417556;1.80333;68.0027;0.00144762;0.00459796
10;0.540705;2.80928;0.0360554;0.0515371;1.34494;0.00605898;0.320626;0.220913;0.0816925;0.00740242;0.0733585;41.806;0.0417556;1.80333;68.0027;0.00144762;0.00459796
100;0.540705;2.80928;0.0360554;0.0515371;1.34494;0.00605898;0.320626;0.220913;0.0816925;0.00740242;0.0733585;41.806;0.0417556;1.80333;68.0027;0.00144762;0.00459796
1000;0.540705;2.80928;0.0360554;0.0515371;1.34494;0.00605898;0.320626;0.220913;0.0816925;0.00740242;0.0733585;41.806;0.0417556;1.80333;68.0027;0.00144762;0.00459796
