k;j3;j4;p2;p3;p4;s1;s2;s3;s4;t2;t3;t4;ti2;ti3;ti4;tr1;tr2
1;0.0033652;0.00326433;8.76875e-05;0.0050295;0.0652527;;;6e-05;;0.000119167;9.2e-05;0.0001095;0.000503;0.749194;;;;
10;0.0038264;0.003909;0.000248812;0.0143908;4.31501;;;0.000113;;0.000416167;0.00035;0.000801;0.00181917;0.927595;;;;
100;0.0143972;0.0503393;0.0014835;0.0147788;3.61173;;;0.000451;;0.00921867;0.040098;0.001991;0.00293733;3.06627;;;;
1000;0.10552;0.169812;0.00928787;0.0279465;3.40955;;;0.003451;;0.0176862;2.92978;0.0368135;0.03653;4.54135;;;;
