k;j3;j4;p2;p3;p4;s1;s2;s3;s4;t2;t3;t4;ti2;ti3;ti4;tr1;tr2
1;6077399;36063747;433932;538140;14038321;49330;2872564;1977269;730349;82512;821938;56502860;478130;23300008;249168831;11887;41688
10;6077399;36063747;433932;538140;14038321;49330;2872564;1977269;730349;82512;821938;56502860;478130;23300008;249168831;11887;41688
100;6077399;36063747;433932;538140;14038321;49330;2872564;1977269;730349;82512;821938;56502860;478130;23300008;249168831;11887;41688
1000;6077399;36063747;433932;538140;14038321;49330;2872564;1977269;730349;82512;821938;56502860;478130;23300008;249168831;11887;41688
