k;j3;j4;p2;p3;p4;s1;s2;s3;s4;t2;t3;t4;ti2;ti3;ti4;tr1;tr2
1;516373;11665814;8786;96716;3829449;12315;242455;69391;207724;2007;78624;132124;8120;528657;959463;2501;8864
10;899792;21661578;66270;376841;7674557;35409;596784;220556;727091;8321;240155;573229;28631;1068865;1252256;10260;35635
100;1064836;27308409;86085;457137;13961317;49266;658146;271709;730345;47585;357297;581551;71158;1769674;1252256;11524;36458
1000;1435452;34692006;108967;481656;14248826;49320;666617;278467;730345;64331;384982;606201;168174;1903684;1252256;11876;41673
