k;j3;j4;p2;p3;p4;s1;s2;s3;s4;t2;t3;t4;ti2;ti3;ti4;tr1;tr2
1;16.5787;119.957;0.470159;1.64397;50.8513;17.0869;13.0153;9.01221;3.11451;0.099947;1.5998;127.429;0.485852;33.0548;635.341;0.034295;0.159073;
10;25.1878;150.625;0.553783;2.26807;81.7973;17.0869;19.759;13.6014;5.24448;0.12766;2.29315;202.362;0.524595;40.8471;1133.24;0.0482116;0.21086;
100;27.3599;159.943;0.625884;2.50381;92.6565;17.0869;20.0863;13.6697;5.2809;0.202243;2.8413;116.8;0.673796;52.9667;1232.86;0.0514649;0.215615;
1000;28.8078;226.434;0.664066;2.66855;93.8472;17.0869;20.0342;13.6795;5.26146;0.230809;4.62809;145.129;0.969066;99.1645;1304.49;0.0517498;0.226464;
