k;j3;j4;p2;p3;p4;s1;s2;s3;s4;t2;t3;t4;ti2;ti3;ti4;tr1;tr2
1;2.2457;14.6202;0.00714046;0.113067;2.62072;0.0252136;1.39462;1.98599;0.347769;0.00188326;0.0880353;163.879;0.00647312;1.94726;364.981;0.00377496;0.0130478;
10;3.5381;26.8941;0.0476362;0.426399;8.25706;0.068704;4.87813;3.16304;1.23535;0.00668512;0.27142;513.421;0.0213028;2.80371;626.548;0.0133856;0.0538212;
100;4.53905;33.9697;0.0622669;0.518496;17.7112;0.0909516;5.02517;3.24916;1.24808;0.0354356;0.407595;549.556;0.0513445;5.82957;693.223;0.0150712;0.0548948;
1000;4.88497;43.5883;0.0790366;0.543978;18.1611;0.0915455;5.00782;3.27132;1.24763;0.0473003;0.874282;566.404;0.11927;14.2189;784.969;0.0155997;0.0620303;
