k;j3;j4;p2;p3;p4;s1;s2;s3;s4;t2;t3;t4;ti2;ti3;ti4;tr1;tr2
1;0.0277926;0.19789;0.00135625;0.101849;0.537042;;;0.000248;;0.001268;0.001581;0.049711;0.00298983;4.1856;;;;
10;0.0300724;0.190315;0.00224487;0.118252;35.7312;;;0.00031;;0.00764417;0.006282;0.66054;0.00495833;5.70247;;;;
100;0.119984;0.252973;0.0118596;0.130933;34.7355;;;0.001046;;0.0224108;0.140033;7.49209;0.0200582;26.5657;;;;
1000;0.880256;0.705828;0.0765998;0.27348;35.3588;;;0.009804;;0.0552772;31.3509;23.3497;0.260176;43.2548;;;;
