k;j3;j4;p2;p3;p4;s1;s2;s3;s4;t2;t3;t4;ti2;ti3;ti4;tr1;tr2
1;2434975;12095550;7713;135082;3352592;12460;1050052;1283685;195104;3217;57232;213181089;6488;1943813;146917772;2889;11170
10;3840170;21479961;59014;374719;7275890;36035;2806784;1920277;726067;11392;241108;442586117;23669;3187030;457982064;10171;35522
100;4949853;27417003;85771;451256;13594257;48245;2864794;1970464;730345;43301;363119;455705541;61104;6286445;485148647;11520;36755
1000;5253581;34652877;106796;480640;13874587;49320;2872555;1976265;730345;51776;821908;458315130;158510;16277878;659531556;11876;41673
