k;j3;j4;p2;p3;p4;s1;s2;s3;s4;t2;t3;t4;ti2;ti3;ti4;tr1;tr2
1;1.68107;12.5333;0.00494186;0.133725;3.61695;0.0218143;1.54532;1.79427;0.287979;0.00207448;0.0501053;215.364;0.00447994;1.50754;144.883;0.0036585;0.0152247
10;2.92845;21.6136;0.0361735;0.359418;8.37907;0.0610013;4.25375;2.74593;1.0835;0.0076877;0.239649;442.376;0.0134835;2.50266;454.048;0.0113612;0.0472411
100;3.71818;27.9452;0.0497537;0.4205;14.539;0.075978;4.62742;2.91359;1.07797;0.0250103;0.336402;459.517;0.0336257;4.76142;478.68;0.0128761;0.0479925
1000;3.9698;35.3308;0.0615316;0.447021;14.819;0.0774177;4.39263;2.82139;1.07889;0.0296405;0.722;462.13;0.0847981;11.8102;637.818;0.0132672;0.0533842
