k;j3;j4;p2;p3;p4;s1;s2;s3;s4;t2;t3;t4;ti2;ti3;ti4;tr1;tr2
1;6.41354;48.1187;0.018737;0.472862;12.9647;0.0773186;5.13181;6.66654;0.966325;0.0077169;0.185436;199.752;0.0144144;5.42382;318.609;0.0119754;0.0484667
10;11.1142;83.0041;0.131587;1.28187;31.0058;0.198329;14.5518;9.27677;3.61654;0.0266108;0.859356;141.893;0.0523166;9.39163;637.157;0.0389618;0.158385
100;14.4968;108.64;0.185221;1.47613;51.3869;0.0027534;14.3627;9.05084;3.46563;0.0934267;1.20719;149.023;0.125141;16.7846;664.518;0.0421941;0.154855
1000;14.7183;130.895;0.22991;1.57059;52.5031;0.0027534;14.4047;9.14477;3.46538;0.110833;2.60915;222.65;0.319043;43.0629;651.754;0.0437284;0.179653
