k;j3;j4;p2;p3;p4;s1;s2;s3;s4;t2;t3;t4;ti2;ti3;ti4;tr1;tr2
1;24963;20034;181;899513;524235;0;0;24;0;44;0;68;4072;1214166;0;0;0;
10;28091;24068;1337;899513;3413984;0;0;108;0;2489;0;4172;6434;1708390;0;0;0;
100;100266;297916;11999;899513;3515556;0;0;1072;0;85405;0;11295;25785;1895231;0;0;0;
1000;789256;1080782;81197;899513;3515556;0;0;10904;0;160495;0;232150;340803;4452352;0;0;0;
