k;j3;j4;p2;p3;p4;s1;s2;s3;s4;t2;t3;t4;ti2;ti3;ti4;tr1;tr2
1;24962;20033;180;35351;2855363;0;0;23;0;43;48;3629422;4071;5498500;3421428833;0;0;
10;28081;24057;1327;64222;19119321;0;0;98;0;2479;879;3629422;6424;5869345;3421428833;0;0;
100;100166;297816;11899;104497;19144714;0;0;972;0;85305;301007;3629422;25685;22726349;3421428833;0;0;
1000;788256;1079782;80196;193895;19144714;0;0;9904;0;159495;22231286;3629422;339803;33609520;3421428833;0;0;
