k;j3;j4;p2;p3;p4;s1;s2;s3;s4;t2;t3;t4;ti2;ti3;ti4;tr1;tr2
1;0.035882;0.188729;0.002572;0.096145;18.120323;0;0;0.000303;0;0.000265;0.001242;0.001075;0.007648;8.341617;0;0;0
10;0.059343;0.191226;0.003374;0.129590;33.483180;0;0;0.000375;0;0.000334;0.004885;0.002057;0.008036;9.269709;0;0;0
100;0.300448;0.227491;0.011503;0.153543;33.507947;0;0;0.000979;0;0.001423;0.105788;0.003242;0.029747;14.797233;0;0;0
1000;1.741931;0.630594;0.051542;0.309734;33.383430;0;0;0.008335;0;0.018202;27.553000;1.616034;0.249812;47.755116;0;0;0
