k;j3;j4;p2;p3;p4;s1;s2;s3;s4;t2;t3;t4;ti2;ti3;ti4;tr1;tr2
1;32211;135794;2726;70461;12249395;0;0;24;0;29;432;137;8321;2554901;0;0;0;
10;53841;135879;3675;92924;22109833;0;0;76;0;137;2443;570;8904;3341592;0;0;0;
100;279107;164203;13255;112952;22126483;0;0;668;0;1533;55381;1591;37603;7987408;0;0;0;
1000;1574212;458999;61135;240360;22126483;0;0;7375;0;22926;22231286;510199;311906;35513067;0;0;0;
