k;j3;j4;p2;p3;p4;s1;s2;s3;s4;t2;t3;t4;ti2;ti3;ti4;tr1;tr2
1;5.037041;39.481100;0.032033;0.964314;26.702717;0.147391;2.879272;4.119131;2.466606;0.007634;0.755249;3.158200;0.030493;5.127457;24.309153;0.012589;0.044443;
10;8.748757;57.694335;0.247185;3.772539;49.682881;0.415222;7.197728;2.635411;8.639612;0.031179;2.319664;14.189050;0.108777;10.457368;31.951749;0.049812;0.175903;
100;10.224272;54.692819;0.315735;4.487370;55.473221;0.577251;7.935725;3.242362;8.758813;0.180567;3.473195;14.412989;0.270367;17.418454;31.424152;0.055789;0.181174;
1000;13.895183;61.791033;0.401217;4.753626;63.439059;0.579975;7.881860;3.311356;8.609064;0.242691;3.726787;14.883295;0.635748;18.528212;32.146641;0.056970;0.206228;
