k;j3;j4;p2;p3;p4;s1;s2;s3;s4;t2;t3;t4;ti2;ti3;ti4;tr1;tr2
1;5.59639;22.4448;0.0308576;0.88929;12.5729;0.131565;4.44039;0.804144;2.17449;0.00738886;0.694816;3.16522;0.0309872;9.02461;35.1636;0.011222;0.041049
10;9.29485;35.7676;0.226049;3.35715;28.2864;0.367317;9.28667;3.81482;7.65312;0.0310421;2.11809;13.2443;0.109524;15.6764;35.3238;0.0452469;0.163055
100;9.26327;35.4019;0.305243;4.14934;32.285;0.520206;9.92255;4.31983;7.71603;0.174372;3.22497;14.2314;0.268588;21.3488;30.882;0.0495713;0.163315
1000;12.3976;39.5721;0.388545;4.36034;37.0978;0.519677;10.0069;4.43217;7.74239;0.238808;3.51657;13.1415;0.622389;23.9453;29.6219;0.0519056;0.19208
