k;j3;j4;p2;p3;p4;s1;s2;s3;s4;t2;t3;t4;ti2;ti3;ti4;tr1;tr2
1;0.016616;0.097854;0.000821;0.041917;0.346370;0;0;0.000289;0;0.000928;0.000895;0.017722;0.001641;3.167151;0;0;0
10;0.018068;0.098619;0.001309;0.059272;21.306597;0;0;0.000324;0;0.001895;0.023283;0.215168;0.002154;3.495198;0;0;0
100;0.055050;0.121953;0.006934;0.064619;21.446630;0;0;0.000618;0;0.012755;0.052465;3.190212;0.011701;17.567170;0;0;0
1000;0.547051;0.380911;0.042459;0.150010;21.385667;0;0;0.004002;0;0.028322;22.052500;8.613455;0.154085;28.875475;0;0;0
