k;j3;j4;p2;p3;p4;s1;s2;s3;s4;t2;t3;t4;ti2;ti3;ti4;tr1;tr2
1;0.024376;0.024800;0.000418;0.035067;1.978818;0;0;0.000296;0;0.000403;0.000422;0.028684;0.003376;8.907703;0;0;0;
10;0.027164;0.031331;0.001170;0.066712;26.261853;0;0;0.000340;0;0.002048;0.001344;0.029372;0.005032;9.329893;0;0;0;
100;0.095871;0.373426;0.008469;0.110004;26.530013;0;0;0.001126;0;0.065298;0.346971;0.117082;0.018479;26.818967;0;0;0;
1000;0.771617;1.448220;0.054432;0.198587;26.369343;0;0;0.008491;0;0.114823;25.795300;0.912328;0.246577;36.261096;0;0;0;
