k;j3;j4;p2;p3;p4;s3;t2;t3;t4;ti2;ti3
1;0.0165978;0.097068;0.0007275;0.0423487;0.344273;0.000199;0.0008385;0.000771;0.0178295;0.00154183;3.16646
10;0.0186328;0.0998357;0.00122425;0.0588898;23.1894;0.00023;0.0018185;0.002504;0.215043;0.00206883;8.19798
100;0.062205;0.121968;0.00684244;0.0644492;21.2208;0.000479;0.012498;0.051546;3.15089;0.01145;18.672
1000;0.540711;0.388982;0.0420285;0.149796;21.2539;0.003827;0.0280152;22.0031;8.6829;0.153255;28.6615
