k;j3;j4;p2;p3;p4;s1;s2;s3;s4;t2;t3;t4;ti2;ti3;ti4;tr1;tr2
1;24962;19055;180;35351;1526957;0;0;23;0;43;48;18822;4071;10971674;0;0;0
10;28081;24066;1327;64222;22056820;0;0;98;0;2479;879;19540;6424;11342520;0;0;0
100;100166;296453;11899;104497;22126483;0;0;972;0;85305;301007;79792;25685;28199523;0;0;0
1000;788256;1079782;80196;193895;22126483;0;0;9904;0;159495;22231286;641269;339803;39082694;0;0;0
