k;j3;j4;p2;p3;p4;s1;s2;s3;s4;t2;t3;t4;ti2;ti3;ti4;tr1;tr2
1;3.37744;22.5137;0.0971294;0.343795;10.0549;0.0517122;2.82288;2.03237;0.678111;0.0219585;0.336348;23.8803;0.107026;6.42236;132.317;0.00827798;0.0379104
10;4.8995;28.3215;0.11386;0.475202;16.1018;0.0669677;4.25487;3.01222;1.15176;0.0271797;0.478971;37.8298;0.114297;7.84342;244.725;0.0113523;0.049207
100;5.35112;29.8179;0.128127;0.516362;18.1252;0.0741019;4.42576;3.03698;1.15185;0.0418327;0.591771;70.7584;0.141575;10.305;279.891;0.0119659;0.0502396
1000;5.59307;42.1315;0.130861;0.539471;19.2362;0.0748556;4.66255;3.26325;1.14347;0.0454303;0.914278;76.6322;0.183927;18.8872;267.043;0.0118558;0.0511134
k;j3;j4;p2;p3;p4;s1;s2;s3;s4;t2;t3;t4;ti2;ti3;ti4;tr1;tr2
1;3.66502;25.7891;0.108164;0.383949;11.0249;0.055662;3.18228;2.31973;0.748246;0.0225132;0.359382;28.8192;0.110529;7.58571;152.223;0.00899794;0.0409355;
10;5.45022;32.109;0.127445;0.506822;17.604;0.0719002;4.84093;3.35853;1.25709;0.0274312;0.508887;43.3402;0.118219;10.8955;268.354;0.0121839;0.0535281;
100;5.78653;32.9091;0.140339;0.549686;19.8985;0.0806154;4.99155;3.47598;1.26323;0.0427306;0.626696;250.325;0.147384;11.3484;302.67;0.0128686;0.055026;
1000;6.26131;46.5026;0.153456;0.588236;19.9742;0.0796926;4.96312;3.61791;1.26202;0.0491716;1.0158;83.4002;0.205423;20.7215;1172.79;0.0128397;0.0561003;
