k;j3;j4;p2;p3;p4;s1;s2;s3;s4;t2;t3;t4;ti2;ti3;ti4;tr1;tr2
1;1.169015;7.581473;0.006411;0.060610;3.559634;0.010821;0.714095;0.762620;0.113452;0.001622;0.036588;13.797674;0.004477;0.578137;17.315820;0.003284;0.007084;
10;1.975417;13.027306;0.029614;0.196217;5.860031;0.028845;1.821772;1.263492;0.478671;0.005751;0.120362;18.691499;0.011008;1.254342;84.069449;0.009929;0.028589;
100;2.371828;15.535857;0.042893;0.232018;8.586162;0.037483;1.816719;1.284511;0.475233;0.019884;0.180213;31.782196;0.028008;2.364982;95.073158;0.011756;0.029774;
1000;2.517083;20.267219;0.051365;0.249304;8.749445;0.037810;1.831710;1.294751;0.475583;0.024109;0.417712;58.279931;0.073936;8.619944;105.562383;0.012481;0.034046;
