k;j3;j4;p2;p3;p4;s1;s2;s3;s4;t2;t3;t4;ti2;ti3;ti4;tr1;tr2
1;2.482580;18.594665;0.009810;0.137265;8.239767;0.023047;1.819624;1.814743;0.284236;0.002183;0.082292;35.206285;0.006639;1.285119;43.805056;0.003456;0.010732
10;4.316076;30.831931;0.042142;0.445077;14.238743;0.060280;4.598877;3.095911;1.273841;0.008407;0.289105;47.873487;0.018036;3.011315;218.314056;0.010997;0.046318
100;5.279025;37.149036;0.066473;0.541275;20.641687;0.083870;4.727356;3.096257;1.288667;0.032648;0.426062;81.287768;0.045507;5.575701;244.633325;0.012458;0.047337
1000;5.552447;48.388263;0.079545;0.583996;21.274777;0.084338;4.738570;3.169467;1.283615;0.038879;1.072254;85.439190;0.137752;19.682117;271.718096;0.012969;0.052902
