k;j3;j4;p2;p3;p4;s1;s2;s3;s4;t2;t3;t4;ti2;ti3;ti4;tr1;tr2
1;12.0078;89.8095;0.386208;1.265;36.3655;0.0027534;10.8549;7.29533;2.38353;0.0713703;1.09967;82.7276;0.324578;19.2031;393.668;0.0335456;0.142751;
10;18.7544;114.042;0.459318;1.75611;61.1254;0.0027534;16.8955;11.3226;4.13606;0.0922104;1.62607;138.499;0.351234;24.7373;748.295;0.0468617;0.189631;
100;20.2422;121.587;0.517247;1.94128;68.7396;0.0027534;17.2256;11.4789;4.11353;0.152622;2.0371;103.378;0.458719;33.8208;821.177;0.0500588;0.193565;
1000;21.5575;177.765;0.549054;2.07142;69.7767;0.0027534;17.3234;11.4594;4.11643;0.171853;3.30025;140.828;0.676948;66.8151;874.445;0.0502955;0.20265;
