k;j3;j4;p2;p3;p4;s1;s2;s3;s4;t2;t3;t4;ti2;ti3;ti4;tr1;tr2
1;0.781497;1.233847;0.024409;0.171774;21.482307;0;0;0.008904;0;0.004119;0.279553;3.480723;0.011464;13.709881;0;0;0;
10;1.120750;1.236830;0.039417;0.216971;25.908927;0;0;0.011666;0;0.011365;2.116340;5.502855;0.021149;14.146000;0;0;0;
100;2.057134;1.249309;0.067675;0.281315;25.502897;0;0;0.018078;0;0.029935;9.586930;12.045355;0.096188;31.651269;0;0;0;
1000;5.286651;1.382032;0.177870;0.499911;25.324843;0;0;0.032459;0;0.084100;22.907700;26.211620;0.332435;50.764669;0;0;0;
