k;j3;j4;p2;p3;p4;s3;t2;t3;t4;ti2;ti3
1;11.84572;4.35594333;0.0793384;1.14189;57.9256;0.016474;0.0743655;24.1766;84.3872;0.556719;76.58275
10;12.2262;4.44936;0.106122;1.17019;59.3302;0.020857;0.0993842;28.4506;122.356;0.67242;77.9563
100;13.7718;5.05982;0.216136;1.35379;61.745;0.028869;0.145102;39.7128;138.666;0.964905;94.64075
1000;16.9742;5.20479;0.46884;1.75219;61.8774;0.042668;0.24078;54.8147;170.709;1.51335;131.64
