k;j3;j4;p2;p3;p4;s1;s2;s3;s4;t2;t3;t4;ti2;ti3;ti4;tr1;tr2
1;1.008896;4.684724;0.025799;0.093104;1.620598;0.020492;0.572565;0.391312;0.207965;0.008464;0.066582;5.748940;0.010723;0.984155;27.134268;0.012275;0.026882;
10;1.082594;5.635768;0.038148;0.120157;1.933306;0.026335;0.738361;0.540649;0.215033;0.015133;0.116494;9.987647;0.021214;1.544159;38.263691;0.016898;0.030826;
100;1.147832;5.949457;0.046563;0.130495;3.011342;0.028095;0.754847;0.555681;0.216705;0.021969;0.144457;11.695082;0.038683;2.781028;40.204926;0.018333;0.034177;
1000;1.158171;6.396551;0.063707;0.133433;3.043771;0.028752;0.747177;0.561541;0.221720;0.026411;0.189032;11.873264;0.056239;3.599251;41.533933;0.017519;0.032815;
