k;j3;j4;p2;p3;p4;s1;s2;s3;s4;t2;t3;t4;ti2;ti3;ti4;tr1;tr2
1;6.615132;58.663468;0.083010;0.837246;21.845500;0.135358;6.770141;4.806915;1.869383;0.022502;0.404998;77.026333;0.045123;9.264368;281.376529;0.020178;0.077553
10;7.138834;56.552587;0.111021;0.825311;25.401534;0.138329;7.121938;4.961505;1.869534;0.042063;0.789857;105.652217;0.085117;14.705715;343.163657;0.022755;0.084368
100;7.558395;65.017033;0.138224;0.869860;29.097274;0.137913;7.112635;4.741848;1.881586;0.056729;1.127068;111.807223;0.157445;21.307211;352.451573;0.023105;0.086192
1000;8.227989;68.075468;0.184684;0.902615;28.713069;0.138541;7.084108;4.870194;1.897247;0.067441;1.296583;113.234015;0.243643;24.954870;361.713470;0.023006;0.086873
