k;j3;j4;p2;p3;p4;s1;s2;s3;s4;t2;t3;t4;ti2;ti3;ti4;tr1;tr2
1;4147747;22701466;50578;335719;7566770;39518;2416138;1798746;689988;13644;151943;28999055;23128;3824844;115047554;8131;31593
10;4865604;26041794;90281;451984;10183528;48228;2863498;1949532;729156;32898;373498;49306955;53115;6290556;175372949;11353;38042
100;5640733;31380118;111939;489942;13957978;49309;2872217;1975369;730345;51111;574525;55596998;120552;12974358;186186099;11840;40670
1000;6021620;34744990;158779;519007;14034464;49320;2872555;1976716;730345;61121;821908;56159692;213142;18040930;188584377;11876;41673
