k;j3;j4;p2;p3;p4;s1;s2;s3;s4;t2;t3;t4;ti2;ti3;ti4;tr1;tr2
1;0.0266694;0.15475;0.001308;0.079117;0.479721;;;0.00024;;0.00103217;0.001548;0.0336625;0.00292467;4.30264;;;;
10;0.0292912;0.154266;0.00226406;0.116273;33.2219;;;0.000305;;0.002694;0.006039;0.452628;0.00382217;4.67934;;;;
100;0.0848834;0.19116;0.0112575;0.122143;32.9881;;;0.001116;;0.0212438;0.13958;7.35294;0.0191637;25.1812;;;;
1000;0.806812;0.611389;0.0730514;0.257931;32.5254;;;0.009339;;0.0519225;28.5095;22.0454;0.24022;38.4878;;;;
